sequence,stage,skill,course_id,course_name,institution,course_score,status
1,Programming,Python,python,programming for everybody (getting started with python),university of michigan,0.9492450704225353,Course Available
2,Data,Data Integrity,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,0.6929827856025039,Course Available
3,Data,Data Preparation,python-data-analysis,introduction to data science in python,university of michigan,0.6762247778931951,Course Available
4,Data,Data Mining,process-mining,process mining: data science in action,eindhoven university of technology,0.6589620652089331,Course Available
5,Data,Data Visualization,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,0.6842206572769953,Course Available
6,Statistics,Statistical Software,deep-neural-network,"improving deep neural networks: hyperparameter tuning, regularization and optimization",deeplearning.ai,0.77639562349708,Course Available
7,Statistics,Regressions,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,0.730757229155639,Course Available
8,Statistics,Time Series Analysis,practical-time-series-analysis,practical time series analysis,the state university of new york,0.6277286433376894,Course Available
9,Machine Learning,Machine Learning,machine-learning,machine learning,stanford university,0.929384784317612,Course Available
10,Machine Learning,Predictive Modeling,,,,0.0,Skill Gap - No Course
11,Machine Learning,Causal-Model Approaches,crash-course-in-causality,a crash course in causality: inferring causal effects from observational data,university of pennsylvania,0.6490125195618153,Course Available
12,Machine Learning,Text Mining,introduction-tensorflow,"introduction to tensorflow for artificial intelligence, machine learning, and deep learning",deeplearning.ai,0.6973278835745257,Course Available
13,Databases and Big Data,Sql,python-data,python data structures,university of michigan,0.8935830632300301,Course Available
14,Databases and Big Data,Big Data,what-is-datascience,what is data science?,ibm,0.778520285233413,Course Available
15,Databases and Big Data,Hadoop,what-is-datascience,what is data science?,ibm,0.778520285233413,Course Available
16,Databases and Big Data,Apache Spark,big-data-essentials,"big data essentials: hdfs, mapreduce and spark rdd",yandex,0.4744227221737505,Course Available
17,Databases and Big Data,Hive,,,,0.0,Skill Gap - No Course
18,Databases and Big Data,Pig,,,,0.0,Skill Gap - No Course
19,Cloud and Tools,Cloud Platforms,gcp-fundamentals,google cloud platform fundamentals: core infrastructure,google cloud,0.7486627812149343,Course Available
20,Cloud and Tools,Aws,machine-learning,machine learning,stanford university,0.929384784317612,Course Available
21,Cloud and Tools,Tableau,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,0.6842206572769953,Course Available
22,Professional Skills,Communication,ai-for-everyone,ai for everyone,deeplearning.ai,0.8093861502347418,Course Available
23,Professional Skills,Stakeholder Engagement,,,,0.0,Skill Gap - No Course
24,Professional Skills,Strategic Thinking,strategic-management,strategic management,copenhagen business school,0.6820070204508786,Course Available
25,Professional Skills,Problem Solving,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,0.6929827856025039,Course Available
26,Professional Skills,Project Management,project-planning,initiating and planning projects,"university of california, irvine",0.7066917978458989,Course Available
27,Professional Skills,Teamwork,oilandgas,oil & gas industry operations and markets,duke university,0.6943225035283274,Course Available
28,Professional Skills,Business Acumen,brand,"brand management: aligning business, brand and behaviour",london business school,0.7062443896476741,Course Available
29,Professional Skills,Transparency,,,,0.0,Skill Gap - No Course
30,Professional Skills,Storytelling,wharton-success,success,university of pennsylvania,0.6912283785356769,Course Available
31,Professional Skills,Iterative Development,uva-darden-getting-started-agile,agile meets design thinking,university of virginia,0.6767609069048436,Course Available
