required_skill,course_id,course_name,institution,average_rating,review_count
Python,accounting-data-analytics-python,accounting data analytics with python,university of illinois at urbana-champaign,3.2857142857142856,7
Python,ai-for-medical-diagnosis,ai for medical diagnosis,deeplearning.ai,4.587982832618025,233
Python,algorithmic-toolbox,algorithmic toolbox,university of california san diego,4.502676977989292,1681
Python,aprendiendo-programar-python,introducción a la programación en python i: aprendiendo a programar con python,pontificia universidad católica de chile,4.164627363737486,899
Python,basic-statistics,basic statistics,university of amsterdam,4.564979480164158,731
Python,batch-data-pipelines-gcp,building batch data pipelines on gcp,google cloud,4.134615384615385,104
Python,bioinformatics,biology meets programming: bioinformatics for beginners,university of california san diego,4.037037037037037,297
Python,building-modern-python-applications-on-aws,building modern python applications on aws,amazon web services,5.0,1
Python,c-plus-plus-white,основы разработки на c++: белый пояс,moscow institute of physics and technology,4.714754098360656,305
Python,ciencia-computacao-python-conceitos,introdução à ciência da computação com python parte 1,universidade de são paulo,4.857371794871795,1248
Python,classification-vector-spaces-in-nlp,natural language processing with classification and vector spaces,deeplearning.ai,4.368770764119601,301
Python,cloud-infrastructure-design-process,reliable google cloud infrastructure: design and process,google cloud,4.567901234567901,405
Python,computational-neuroscience,computational neuroscience,university of washington,4.543352601156069,173
Python,computational-thinking-problem-solving,computational thinking for problem solving,university of pennsylvania,4.608870967741935,248
Python,conversational-experiences-dialogflow,building conversational experiences with dialogflow,google cloud,4.13265306122449,196
Python,convolutional-neural-networks,convolutional neural networks,deeplearning.ai,3.855784469096672,1262
Python,cs-fundamentals-1,object-oriented data structures in c++,university of illinois at urbana-champaign,4.602816901408451,355
Python,data-analysis-with-python,data analysis with python,ibm,4.365886287625418,1495
Python,data-science-k-means-clustering-python,foundations of data science: k-means clustering in python,university of london,4.586666666666667,75
Python,data-science-methodology,data science methodology,ibm,4.2706359945872805,1478
Python,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,4.4407206509105,5162
Python,data-visualization-tableau,fundamentals of visualization with tableau,"university of california, davis",4.244970414201183,845
Python,django-database-web-apps,web application technologies and django,university of michigan,4.626086956521739,115
Python,drug-development,drug development,university of california san diego,4.4765625,256
Python,google-machine-learning,how google does machine learning,google cloud,4.430711610486892,801
Python,ibm-penetration-testing-incident-response-forensics,"penetration testing, incident response and forensics",ibm,4.323529411764706,68
Python,intro-self-driving-cars,introduction to self-driving cars,university of toronto,4.589090909090909,275
Python,introduction-git-github,introduction to git and github,google,4.777777777777778,576
Python,introduction-portfolio-construction-python,introduction to portfolio construction and analysis with python,edhec business school,4.780748663101604,187
Python,introduction-programming-unity,introduction to c# programming and unity,university of colorado system,4.653739612188366,361
Python,java-programming,java programming: solving problems with software,duke university,4.372736954206602,939
Python,learn-to-program,learn to program: the fundamentals,university of toronto,4.7286512370311256,1253
Python,linear-algebra-machine-learning,mathematics for machine learning: linear algebra,imperial college london,4.543050847457627,1475
Python,machine-learning,machine learning,stanford university,4.751239405085559,12506
Python,machine-learning-duke,introduction to machine learning,duke university,4.662650602409639,166
Python,machine-learning-with-python,machine learning with python,ibm,4.443490701001431,1398
Python,mathematics-and-python,математика и python для анализа данных,moscow institute of physics and technology,4.585597826086956,736
Python,mcmc-bayesian-statistics,bayesian statistics: techniques and models,"university of california, santa cruz",4.729166666666667,96
Python,ml-foundations,machine learning foundations: a case study approach,university of washington,4.442947368421053,2375
Python,multivariate-calculus-machine-learning,mathematics for machine learning: multivariate calculus,imperial college london,4.609477124183006,612
Python,nand2tetris2,build a modern computer from first principles: nand to tetris part ii (project-centered course),hebrew university of jerusalem,4.954022988505747,87
Python,neural-networks-deep-learning,neural networks and deep learning,deeplearning.ai,4.78019541834305,12179
Python,open-source-tools-for-data-science,tools for data science,ibm,3.911032028469751,2529
Python,pca-machine-learning,mathematics for machine learning: pca,imperial college london,3.408817635270541,499
Python,probability-intro,introduction to probability and data with r,duke university,4.579004329004329,924
Python,progfun1,functional programming principles in scala,école polytechnique fédérale de lausanne,4.69751166407465,1286
Python,programming-languages,"programming languages, part a",university of washington,4.915942028985508,345
Python,python,programming for everybody (getting started with python),university of michigan,4.6374647887323945,14200
Python,python-basics,python basics,university of michigan,4.799352750809062,1854
Python,python-crash-course,crash course on python,google,4.706744868035191,2728
Python,python-data,python data structures,university of michigan,4.862062121663193,10077
Python,python-data-analysis,introduction to data science in python,university of michigan,4.1713238662391205,4366
Python,python-data-visualization,"capstone: retrieving, processing, and visualizing data with python",university of michigan,4.377476538060479,959
Python,python-databases,using databases with python,university of michigan,4.66049096804076,2159
Python,python-for-applied-data-science-ai,python for data science and ai,ibm,4.232677165354331,2540
Python,python-for-data-visualization,data visualization with python,ibm,3.9543197616683217,1007
Python,python-functions-files-dictionaries,"python functions, files, and dictionaries",university of michigan,4.79764705882353,425
Python,python-machine-learning,applied machine learning in python,university of michigan,4.436274509803922,1020
Python,python-network-data,using python to access web data,university of michigan,4.679266895761741,5238
Python,python-operating-system,using python to interact with the operating system,google,4.529953917050691,434
Python,python-osnovy-programmirovaniya,основы программирования на python,national research university higher school of economics,4.284569138276553,499
Python,python-plotting,"applied plotting, charting & data representation in python",university of michigan,4.2569060773480665,724
Python,python-programming-introduction,python programming: a concise introduction,wesleyan university,4.666048237476809,1078
Python,python-statistics-financial-analysis,python and statistics for financial analysis,the hong kong university of science and technology,4.237623762376238,404
Python,r-programming,r programming,johns hopkins university,4.163108454312553,3513
Python,sequence-models-in-nlp,natural language processing with sequence models,deeplearning.ai,3.875,56
Python,sql-data-science,databases and sql for data science,ibm,4.300892857142857,1120
Python,troubleshooting-debugging-techniques,troubleshooting and debugging techniques,google,4.1688311688311686,154
Python,understanding-visualization-data,understanding and visualizing data with python,university of michigan,4.514598540145985,274
Python,uol-machine-learning-for-all,machine learning for all,university of london,4.637387387387387,444
Python,wharton-people-analytics,people analytics,university of pennsylvania,4.487745098039215,816
Data Integrity,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,4.944444444444445,36
Data Preparation,convolutional-neural-networks-tensorflow,convolutional neural networks in tensorflow,deeplearning.ai,4.422594142259414,717
Data Preparation,data-science-k-means-clustering-python,foundations of data science: k-means clustering in python,university of london,4.586666666666667,75
Data Preparation,python-data-analysis,introduction to data science in python,university of michigan,4.1713238662391205,4366
Data Mining,process-mining,process mining: data science in action,eindhoven university of technology,4.679558011049724,181
Data Visualization,data-analysis-with-python,data analysis with python,ibm,4.365886287625418,1495
Data Visualization,data-visualization-tableau,fundamentals of visualization with tableau,"university of california, davis",4.244970414201183,845
Data Visualization,excellence-operationnelle,l'excellence opérationnelle en pratique,essec business school,4.735632183908046,87
Data Visualization,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,4.880952380952381,42
Data Visualization,intro-business-analytics,introduction to business analytics: communicating with data,university of illinois at urbana-champaign,4.512195121951219,82
Data Visualization,introduction-to-software-product-management,introduction to software product management,university of alberta,4.534685165421558,937
Data Visualization,python-for-data-visualization,data visualization with python,ibm,3.9543197616683217,1007
Data Visualization,python-plotting,"applied plotting, charting & data representation in python",university of michigan,4.2569060773480665,724
Statistical Software,basic-statistics,basic statistics,university of amsterdam,4.564979480164158,731
Statistical Software,cs-fundamentals-1,object-oriented data structures in c++,university of illinois at urbana-champaign,4.602816901408451,355
Statistical Software,data-analytics-for-lean-six-sigma,data analytics for lean six sigma,university of amsterdam,4.87045813586098,633
Statistical Software,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,4.4407206509105,5162
Statistical Software,deep-neural-network,"improving deep neural networks: hyperparameter tuning, regularization and optimization",deeplearning.ai,4.772292682926829,5125
Statistical Software,einstein-relativity,understanding einstein: the special theory of relativity,stanford university,4.913109756097561,656
Statistical Software,golang-getting-started,getting started with go,"university of california, irvine",4.376271186440678,295
Statistical Software,intro-data-science-programacion-estadistica-r,introducción a data science: programación estadística con r,universidad nacional autónoma de méxico,4.721559633027523,2180
Statistical Software,intro-programming,code yourself! an introduction to programming,the university of edinburgh,4.794915254237288,590
Statistical Software,introduction-statistics-data-analysis-public-health,introduction to statistics & data analysis in public health,imperial college london,4.655172413793103,145
Statistical Software,introduction-to-computer-programming,introduction to computer programming,university of london,3.866141732283464,127
Statistical Software,java-programming,java programming: solving problems with software,duke university,4.372736954206602,939
Statistical Software,linear-algebra-machine-learning,mathematics for machine learning: linear algebra,imperial college london,4.543050847457627,1475
Statistical Software,matlab,introduction to programming with matlab,vanderbilt university,4.806218365871295,2766
Statistical Software,mcmc-bayesian-statistics,bayesian statistics: techniques and models,"university of california, santa cruz",4.729166666666667,96
Statistical Software,python-basics,python basics,university of michigan,4.799352750809062,1854
Statistical Software,python-for-applied-data-science-ai,python for data science and ai,ibm,4.232677165354331,2540
Statistical Software,python-functions-files-dictionaries,"python functions, files, and dictionaries",university of michigan,4.79764705882353,425
Statistical Software,r-programming,r programming,johns hopkins university,4.163108454312553,3513
Statistical Software,uol-machine-learning-for-all,machine learning for all,university of london,4.637387387387387,444
Regressions,accounting-analytics,accounting analytics,university of pennsylvania,4.3549160671462825,417
Regressions,data-analytics-for-lean-six-sigma,data analytics for lean six sigma,university of amsterdam,4.87045813586098,633
Regressions,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,4.4407206509105,5162
Regressions,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,4.880952380952381,42
Regressions,machine-learning-with-python,machine learning with python,ibm,4.443490701001431,1398
Regressions,model-thinking,model thinking,university of michigan,4.774390243902439,328
Regressions,probability-statistics,probability and statistics: to p or not to p?,university of london,4.666666666666667,312
Regressions,python-statistics-financial-analysis,python and statistics for financial analysis,the hong kong university of science and technology,4.237623762376238,404
Regressions,sql-for-data-science,sql for data science,"university of california, davis",4.456495098039215,1632
