Student ID,Skill,Current Status/Level,Required Status/Level,Gap,Priority
S1,Data Integrity,Not Available,Required,Gap,Medium
S1,Communication,Not Available,Required,Gap,Medium
S1,Stakeholder Engagement,Not Available,Required,Gap,Medium
S1,Strategic Thinking,Not Available,Required,Gap,Medium
S1,Problem Solving,Not Available,Required,Gap,Medium
S1,Project Management,Not Available,Required,Gap,Medium
S1,Teamwork,Not Available,Required,Gap,Medium
S1,Business Acumen,Not Available,Required,Gap,Medium
S1,Transparency,Not Available,Required,Gap,Medium
S1,Python,Not Available,Required,Gap,Medium
S1,Sql,Not Available,Required,Gap,Medium
S1,Data Visualization,Not Available,Required,Gap,Medium
S1,Predictive Modeling,Not Available,Required,Gap,Medium
S1,Time Series Analysis,Not Available,Required,Gap,Medium
S1,Machine Learning,Not Available,Required,Gap,Medium
S1,Data Mining,Not Available,Required,Gap,Medium
S1,Tableau,Not Available,Required,Gap,Medium
S1,Cloud Platforms,Not Available,Required,Gap,Medium
S1,Big Data,Not Available,Required,Gap,Medium
S1,Statistical Software,Not Available,Required,Gap,Medium
S1,Causal-Model Approaches,Not Available,Required,Gap,Medium
S1,Data Preparation,Not Available,Required,Gap,Medium
S1,Regressions,Not Available,Required,Gap,Medium
S1,Text Mining,Not Available,Required,Gap,Medium
S1,Aws,Not Available,Required,Gap,Medium
S1,Hadoop,Not Available,Required,Gap,Medium
S1,Apache Spark,Not Available,Required,Gap,Medium
S1,Hive,Not Available,Required,Gap,Medium
S1,Pig,Not Available,Required,Gap,Medium
S1,Storytelling,Not Available,Required,Gap,Medium
S1,Iterative Development,Not Available,Required,Gap,Medium
