Sr_No,Job_Profession,Student,Linguistic,Musical,Bodily,Logical_Mathematical,Spatial_Visualization,Interpersonal,Intrapersonal,Naturalist,Student_ID,P1,P2,P3,P4,P5,P6,P7,P8,Dominant_Intelligence,Average_Intelligence_Score,Average_Performance,Performance_Category
1,Machine Learning Engineer,S1,11,5,12,16,17,11,18,19,S1,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,13.62,2.38,Excellent
1,Machine Learning Engineer,S2,12,6,12,16,16,11,18,19,S2,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,13.75,2.38,Excellent
1,Machine Learning Engineer,S3,13,7,12,16,15,11,18,19,S3,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,13.88,2.38,Excellent
1,Machine Learning Engineer,S4,14,8,12,16,19,11,18,19,S4,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.62,2.38,Excellent
1,Machine Learning Engineer,S5,13,9,12,16,20,11,19,19,S5,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.88,2.38,Excellent
1,Machine Learning Engineer,S6,12,8,12,16,17,11,19,19,S6,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.25,2.38,Excellent
1,Machine Learning Engineer,S7,11,7,12,16,16,11,19,19,S7,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,13.88,2.38,Excellent
1,Machine Learning Engineer,S8,14,6,12,16,15,11,19,19,S8,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.0,2.38,Excellent
1,Machine Learning Engineer,S9,11,5,12,16,19,11,19,19,S9,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.0,2.38,Excellent
1,Machine Learning Engineer,S10,12,5,13,16,20,12,19,19,S10,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.5,2.38,Excellent
1,Machine Learning Engineer,S11,13,6,13,16,17,12,19,19,S11,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.38,2.38,Excellent
1,Machine Learning Engineer,S12,14,7,13,16,16,12,19,19,S12,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.5,2.38,Excellent
1,Machine Learning Engineer,S13,13,8,13,17,15,12,19,19,S13,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.5,2.38,Excellent
1,Machine Learning Engineer,S14,12,9,13,17,19,12,19,19,S14,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,15.0,2.38,Excellent
1,Machine Learning Engineer,S15,11,8,13,17,20,12,19,18,S15,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.75,2.38,Excellent
1,Machine Learning Engineer,S16,14,7,13,17,15,12,19,18,S16,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.38,2.38,Excellent
1,Machine Learning Engineer,S17,11,6,13,17,15,12,20,18,S17,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.0,2.38,Excellent
1,Machine Learning Engineer,S18,12,5,13,18,16,12,20,18,S18,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.25,2.38,Excellent
1,Machine Learning Engineer,S19,13,5,13,18,16,12,20,18,S19,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.38,2.38,Excellent
1,Machine Learning Engineer,S20,14,6,14,18,17,13,20,18,S20,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,15.0,2.38,Excellent
1,Machine Learning Engineer,S21,13,7,14,18,16,13,20,18,S21,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Intrapersonal,14.88,2.38,Excellent
1,Machine Learning Engineer,S22,12,8,14,18,15,13,16,18,S22,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.25,2.38,Excellent
1,Machine Learning Engineer,S23,11,9,14,18,19,13,16,18,S23,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,14.75,2.38,Excellent
1,Machine Learning Engineer,S24,14,8,14,18,20,13,16,18,S24,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,15.12,2.38,Excellent
1,Machine Learning Engineer,S25,11,7,14,18,16,13,16,19,S25,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.25,2.38,Excellent
1,Machine Learning Engineer,S26,12,6,14,19,16,13,16,20,S26,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.5,2.38,Excellent
1,Machine Learning Engineer,S27,13,5,14,19,17,13,16,20,S27,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.62,2.38,Excellent
1,Machine Learning Engineer,S28,14,5,14,19,17,13,16,20,S28,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.75,2.38,Excellent
1,Machine Learning Engineer,S29,13,5,14,19,16,13,16,20,S29,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.5,2.38,Excellent
1,Machine Learning Engineer,S30,12,6,14,19,15,13,16,20,S30,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.38,2.38,Excellent
1,Machine Learning Engineer,S31,11,7,14,19,19,13,16,20,S31,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.88,2.38,Excellent
1,Machine Learning Engineer,S32,14,8,14,19,20,13,16,20,S32,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Spatial_Visualization,15.5,2.38,Excellent
1,Machine Learning Engineer,S33,11,9,14,19,17,13,16,20,S33,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.88,2.38,Excellent
1,Machine Learning Engineer,S34,12,8,14,19,17,13,16,20,S34,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.88,2.38,Excellent
1,Machine Learning Engineer,S35,13,7,11,19,17,13,16,20,S35,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.5,2.38,Excellent
1,Machine Learning Engineer,S36,14,6,11,19,16,13,16,20,S36,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Naturalist,14.38,2.38,Excellent
1,Machine Learning Engineer,S37,13,5,11,20,15,13,16,20,S37,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.12,2.38,Excellent
1,Machine Learning Engineer,S38,12,8,11,20,19,12,16,20,S38,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.75,2.38,Excellent
1,Machine Learning Engineer,S39,11,5,11,20,20,12,16,20,S39,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.38,2.38,Excellent
1,Machine Learning Engineer,S40,14,6,11,20,17,12,16,20,S40,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.5,2.38,Excellent
1,Machine Learning Engineer,S41,11,7,11,20,17,12,17,15,S41,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,13.75,2.38,Excellent
1,Machine Learning Engineer,S42,12,8,11,20,18,12,17,15,S42,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.12,2.38,Excellent
1,Machine Learning Engineer,S43,13,9,11,20,17,12,17,15,S43,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.25,2.38,Excellent
1,Machine Learning Engineer,S44,14,8,11,20,16,12,17,15,S44,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.12,2.38,Excellent
1,Machine Learning Engineer,S45,13,7,12,20,15,11,17,15,S45,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,13.75,2.38,Excellent
1,Machine Learning Engineer,S46,12,6,12,20,19,11,17,15,S46,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.0,2.38,Excellent
1,Machine Learning Engineer,S47,11,5,12,20,20,11,17,15,S47,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,13.88,2.38,Excellent
1,Machine Learning Engineer,S48,14,9,12,20,18,11,17,15,S48,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.5,2.38,Excellent
1,Machine Learning Engineer,S49,11,7,12,20,18,11,17,15,S49,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,13.88,2.38,Excellent
1,Machine Learning Engineer,S50,12,9,12,20,18,11,17,15,S50,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,Logical_Mathematical,14.25,2.38,Excellent
2,Data Scientist,S51,11,8,17,19,13,6,12,20,S51,AVG,POOR,BEST,BEST,AVG,POOR,AVG,BEST,Naturalist,13.25,2.12,Good
