Student_ID,Job_Profession,Dominant_Intelligence,Average_Intelligence_Score,Average_Performance,Performance_Category
S1,Astronomer,Naturalist,13.62,2.38,Excellent
S2,Astronomer,Naturalist,13.75,2.38,Excellent
S3,Astronomer,Naturalist,13.88,2.38,Excellent
S4,Astronomer,Spatial_Visualization,14.62,2.38,Excellent
S5,Astronomer,Spatial_Visualization,14.88,2.38,Excellent
S6,Astronomer,Intrapersonal,14.25,2.38,Excellent
S7,Astronomer,Intrapersonal,13.88,2.38,Excellent
S8,Astronomer,Intrapersonal,14.0,2.38,Excellent
S9,Astronomer,Spatial_Visualization,14.0,2.38,Excellent
S10,Astronomer,Spatial_Visualization,14.5,2.38,Excellent
S11,Astronomer,Intrapersonal,14.38,2.38,Excellent
S12,Astronomer,Intrapersonal,14.5,2.38,Excellent
S13,Astronomer,Intrapersonal,14.5,2.38,Excellent
S14,Astronomer,Spatial_Visualization,15.0,2.38,Excellent
S15,Astronomer,Spatial_Visualization,14.75,2.38,Excellent
S16,Astronomer,Intrapersonal,14.38,2.38,Excellent
S17,Astronomer,Intrapersonal,14.0,2.38,Excellent
S18,Astronomer,Intrapersonal,14.25,2.38,Excellent
S19,Astronomer,Intrapersonal,14.38,2.38,Excellent
S20,Astronomer,Intrapersonal,15.0,2.38,Excellent
S21,Astronomer,Intrapersonal,14.88,2.38,Excellent
S22,Astronomer,Logical_Mathematical,14.25,2.38,Excellent
S23,Astronomer,Spatial_Visualization,14.75,2.38,Excellent
S24,Astronomer,Spatial_Visualization,15.12,2.38,Excellent
S25,Astronomer,Naturalist,14.25,2.38,Excellent
S26,Astronomer,Naturalist,14.5,2.38,Excellent
S27,Astronomer,Naturalist,14.62,2.38,Excellent
S28,Astronomer,Naturalist,14.75,2.38,Excellent
S29,Astronomer,Naturalist,14.5,2.38,Excellent
S30,Astronomer,Naturalist,14.38,2.38,Excellent
S31,Astronomer,Naturalist,14.88,2.38,Excellent
S32,Astronomer,Spatial_Visualization,15.5,2.38,Excellent
S33,Astronomer,Naturalist,14.88,2.38,Excellent
S34,Astronomer,Naturalist,14.88,2.38,Excellent
S35,Astronomer,Naturalist,14.5,2.38,Excellent
S36,Astronomer,Naturalist,14.38,2.38,Excellent
S37,Astronomer,Logical_Mathematical,14.12,2.38,Excellent
S38,Astronomer,Logical_Mathematical,14.75,2.38,Excellent
S39,Astronomer,Logical_Mathematical,14.38,2.38,Excellent
S40,Astronomer,Logical_Mathematical,14.5,2.38,Excellent
S41,Astronomer,Logical_Mathematical,13.75,2.38,Excellent
S42,Astronomer,Logical_Mathematical,14.12,2.38,Excellent
S43,Astronomer,Logical_Mathematical,14.25,2.38,Excellent
S44,Astronomer,Logical_Mathematical,14.12,2.38,Excellent
S45,Astronomer,Logical_Mathematical,13.75,2.38,Excellent
S46,Astronomer,Logical_Mathematical,14.0,2.38,Excellent
S47,Astronomer,Logical_Mathematical,13.88,2.38,Excellent
S48,Astronomer,Logical_Mathematical,14.5,2.38,Excellent
S49,Astronomer,Logical_Mathematical,13.88,2.38,Excellent
S50,Astronomer,Logical_Mathematical,14.25,2.38,Excellent
S51,Geologist,Naturalist,13.25,2.12,Good
S52,Geologist,Naturalist,13.12,2.12,Good
S53,Geologist,Naturalist,13.25,2.12,Good
S54,Geologist,Naturalist,14.0,2.12,Good
S55,Geologist,Bodily,13.88,2.12,Good
S56,Geologist,Naturalist,13.5,2.12,Good
S57,Geologist,Naturalist,13.0,2.12,Good
S58,Geologist,Naturalist,13.38,2.12,Good
S59,Geologist,Naturalist,13.25,2.12,Good
S60,Geologist,Naturalist,13.62,2.12,Good
S61,Geologist,Naturalist,13.88,2.12,Good
S62,Geologist,Naturalist,13.0,2.12,Good
S63,Geologist,Naturalist,13.25,2.12,Good
S64,Geologist,Bodily,12.88,2.12,Good
S65,Geologist,Naturalist,13.0,2.12,Good
S66,Geologist,Naturalist,13.25,2.12,Good
S67,Geologist,Naturalist,13.12,2.12,Good
S68,Geologist,Naturalist,12.75,2.12,Good
S69,Geologist,Naturalist,12.88,2.12,Good
S70,Geologist,Naturalist,12.75,2.12,Good
S71,Geologist,Naturalist,12.62,2.12,Good
S72,Geologist,Bodily,13.5,2.12,Good
S73,Geologist,Bodily,13.12,2.12,Good
S74,Geologist,Logical_Mathematical,13.25,2.12,Good
S75,Geologist,Logical_Mathematical,12.5,2.12,Good
S76,Geologist,Bodily,12.62,2.12,Good
S77,Geologist,Logical_Mathematical,13.0,2.12,Good
S78,Geologist,Logical_Mathematical,13.38,2.12,Good
S79,Geologist,Logical_Mathematical,13.25,2.12,Good
S80,Geologist,Logical_Mathematical,12.62,2.12,Good
S81,Geologist,Bodily,12.88,2.12,Good
S82,Geologist,Bodily,13.0,2.12,Good
S83,Geologist,Logical_Mathematical,12.88,2.12,Good
S84,Geologist,Logical_Mathematical,12.75,2.12,Good
S85,Geologist,Bodily,13.12,2.12,Good
S86,Geologist,Logical_Mathematical,13.0,2.12,Good
S87,Geologist,Logical_Mathematical,13.25,2.12,Good
S88,Geologist,Logical_Mathematical,12.88,2.12,Good
S89,Geologist,Logical_Mathematical,12.75,2.12,Good
S90,Geologist,Bodily,13.88,2.12,Good
S91,Geologist,Bodily,13.5,2.12,Good
S92,Geologist,Logical_Mathematical,13.38,2.12,Good
S93,Geologist,Logical_Mathematical,13.12,2.12,Good
S94,Geologist,Logical_Mathematical,13.25,2.12,Good
S95,Geologist,Logical_Mathematical,13.12,2.12,Good
S96,Geologist,Logical_Mathematical,13.25,2.12,Good
S97,Geologist,Logical_Mathematical,13.12,2.12,Good
S98,Geologist,Bodily,13.88,2.12,Good
S99,Geologist,Bodily,13.75,2.12,Good
S100,Geologist,Logical_Mathematical,13.0,2.12,Good
S101,Marine Biologist,Logical_Mathematical,11.62,1.88,Average
S102,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S103,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S104,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S105,Marine Biologist,Logical_Mathematical,12.88,1.88,Average
S106,Marine Biologist,Logical_Mathematical,12.5,1.88,Average
S107,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S108,Marine Biologist,Logical_Mathematical,11.88,1.88,Average
S109,Marine Biologist,Logical_Mathematical,12.12,1.88,Average
S110,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S111,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S112,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S113,Marine Biologist,Logical_Mathematical,12.12,1.88,Average
S114,Marine Biologist,Logical_Mathematical,12.25,1.88,Average
S115,Marine Biologist,Logical_Mathematical,12.38,1.88,Average
S116,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S117,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S118,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S119,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S120,Marine Biologist,Logical_Mathematical,11.88,1.88,Average
S121,Marine Biologist,Logical_Mathematical,11.5,1.88,Average
S122,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S123,Marine Biologist,Logical_Mathematical,12.62,1.88,Average
S124,Marine Biologist,Logical_Mathematical,11.88,1.88,Average
S125,Marine Biologist,Logical_Mathematical,12.0,1.88,Average
S126,Marine Biologist,Logical_Mathematical,11.38,1.88,Average
S127,Marine Biologist,Logical_Mathematical,11.5,1.88,Average
S128,Marine Biologist,Logical_Mathematical,11.88,1.88,Average
S129,Marine Biologist,Logical_Mathematical,11.38,1.88,Average
S130,Marine Biologist,Logical_Mathematical,11.38,1.88,Average
S131,Marine Biologist,Logical_Mathematical,11.62,1.88,Average
