Student_ID,Linguistic,Musical,Bodily,Logical_Mathematical,Spatial_Visualization,Interpersonal,Intrapersonal,Naturalist
S1,11,5,12,16,17,11,18,19
S2,12,6,12,16,16,11,18,19
S3,13,7,12,16,15,11,18,19
S4,14,8,12,16,19,11,18,19
S5,13,9,12,16,20,11,19,19
S6,12,8,12,16,17,11,19,19
S7,11,7,12,16,16,11,19,19
S8,14,6,12,16,15,11,19,19
S9,11,5,12,16,19,11,19,19
S10,12,5,13,16,20,12,19,19
S11,13,6,13,16,17,12,19,19
S12,14,7,13,16,16,12,19,19
S13,13,8,13,17,15,12,19,19
S14,12,9,13,17,19,12,19,19
S15,11,8,13,17,20,12,19,18
S16,14,7,13,17,15,12,19,18
S17,11,6,13,17,15,12,20,18
S18,12,5,13,18,16,12,20,18
S19,13,5,13,18,16,12,20,18
S20,14,6,14,18,17,13,20,18
S21,13,7,14,18,16,13,20,18
S22,12,8,14,18,15,13,16,18
S23,11,9,14,18,19,13,16,18
S24,14,8,14,18,20,13,16,18
S25,11,7,14,18,16,13,16,19
S26,12,6,14,19,16,13,16,20
S27,13,5,14,19,17,13,16,20
S28,14,5,14,19,17,13,16,20
S29,13,5,14,19,16,13,16,20
S30,12,6,14,19,15,13,16,20
S31,11,7,14,19,19,13,16,20
S32,14,8,14,19,20,13,16,20
S33,11,9,14,19,17,13,16,20
S34,12,8,14,19,17,13,16,20
S35,13,7,11,19,17,13,16,20
S36,14,6,11,19,16,13,16,20
S37,13,5,11,20,15,13,16,20
S38,12,8,11,20,19,12,16,20
S39,11,5,11,20,20,12,16,20
S40,14,6,11,20,17,12,16,20
S41,11,7,11,20,17,12,17,15
S42,12,8,11,20,18,12,17,15
S43,13,9,11,20,17,12,17,15
S44,14,8,11,20,16,12,17,15
S45,13,7,12,20,15,11,17,15
S46,12,6,12,20,19,11,17,15
S47,11,5,12,20,20,11,17,15
S48,14,9,12,20,18,11,17,15
S49,11,7,12,20,18,11,17,15
S50,12,9,12,20,18,11,17,15
S51,11,8,17,19,13,6,12,20
S52,12,5,16,19,14,7,12,20
S53,13,6,15,19,13,8,12,20
S54,14,7,19,19,12,9,12,20
S55,13,8,20,19,11,8,12,20
S56,12,9,17,19,14,5,12,20
S57,11,8,17,19,11,6,12,20
S58,14,5,18,19,12,7,12,20
S59,11,6,17,19,13,8,12,20
S60,12,7,17,19,13,9,12,20
S61,13,8,16,19,14,8,13,20
S62,14,9,15,15,13,5,13,20
S63,13,8,19,15,12,6,13,20
S64,12,5,20,15,11,7,13,20
S65,11,6,17,15,14,8,13,20
S66,14,7,17,15,11,9,13,20
S67,11,8,18,15,12,8,13,20
S68,12,9,17,15,13,5,13,18
S69,13,8,17,15,13,6,13,18
S70,14,5,16,15,14,7,13,18
S71,13,6,15,15,13,8,13,18
S72,12,7,19,18,12,9,13,18
S73,11,8,20,18,11,8,11,18
S74,14,9,17,18,14,5,11,18
S75,11,8,17,18,11,6,11,18
S76,12,5,18,18,12,7,11,18
S77,13,6,17,18,13,8,11,18
S78,14,7,17,18,13,9,11,18
S79,13,8,16,18,14,8,11,18
S80,12,9,15,18,13,5,11,18
S81,11,8,19,18,12,6,11,18
S82,14,5,20,18,11,7,11,18
S83,11,6,17,18,14,8,11,18
S84,12,7,17,18,11,9,11,17
S85,13,8,18,18,12,8,11,17
S86,14,9,17,18,13,5,11,17
S87,13,8,17,18,13,6,14,17
S88,12,5,16,18,14,7,14,17
S89,11,6,15,18,13,8,14,17
S90,14,7,19,19,12,9,14,17
S91,11,8,20,19,11,8,14,17
S92,12,9,17,19,14,5,14,17
S93,13,8,17,19,11,6,14,17
S94,14,5,18,19,12,7,14,17
S95,13,6,17,19,11,8,14,17
S96,12,7,16,19,12,9,14,17
S97,11,8,15,19,13,8,14,17
S98,14,9,19,19,14,5,14,17
S99,11,7,20,19,13,9,14,17
S100,12,6,17,19,12,7,14,17
S101,5,6,11,20,12,7,13,19
S102,6,5,12,20,12,9,13,19
S103,7,6,14,20,12,10,11,19
S104,8,7,12,20,12,9,12,19
S105,9,8,13,20,12,8,14,19
S106,10,9,11,20,12,7,12,19
S107,9,8,12,20,12,6,13,19
S108,8,5,14,20,12,6,11,19
S109,7,6,12,20,12,9,12,19
S110,6,7,13,20,12,10,14,19
S111,6,8,11,20,12,9,13,19
S112,7,9,12,20,12,8,11,19
S113,8,5,14,20,12,7,12,19
S114,9,6,12,20,12,6,14,19
S115,10,7,13,20,12,6,12,19
S116,9,8,11,20,12,9,13,19
S117,8,9,12,20,12,10,11,19
S118,7,8,14,20,12,9,12,19
S119,6,5,12,20,12,8,14,19
S120,6,6,13,19,12,7,13,19
S121,7,7,11,19,12,6,11,19
S122,8,8,12,19,12,6,12,19
S123,9,9,14,19,11,9,14,16
S124,10,5,12,19,11,10,12,16
S125,9,6,13,19,11,9,13,16
S126,8,7,11,19,11,8,11,16
S127,7,8,12,19,11,7,12,16
S128,6,9,14,19,11,6,14,16
S129,6,8,12,19,11,6,13,16
S130,7,5,13,19,11,9,11,16
S131,8,6,11,19,11,10,12,16
S132,9,7,12,19,11,9,14,16
S133,10,8,14,19,14,8,12,16
S134,9,9,12,18,14,7,13,16
S135,8,5,13,18,14,6,11,16
S136,7,6,11,18,14,6,12,18
S137,6,7,12,18,14,9,14,18
S138,6,8,14,18,14,10,13,18
S139,7,9,12,18,14,9,11,18
S140,8,8,13,18,14,8,12,18
S141,9,5,11,18,14,7,14,18
