Student_ID,Student,Job_Profession
S1,S1,Astronomer
S2,S2,Astronomer
S3,S3,Astronomer
S4,S4,Astronomer
S5,S5,Astronomer
S6,S6,Astronomer
S7,S7,Astronomer
S8,S8,Astronomer
S9,S9,Astronomer
S10,S10,Astronomer
S11,S11,Astronomer
S12,S12,Astronomer
S13,S13,Astronomer
S14,S14,Astronomer
S15,S15,Astronomer
S16,S16,Astronomer
S17,S17,Astronomer
S18,S18,Astronomer
S19,S19,Astronomer
S20,S20,Astronomer
S21,S21,Astronomer
S22,S22,Astronomer
S23,S23,Astronomer
S24,S24,Astronomer
S25,S25,Astronomer
S26,S26,Astronomer
S27,S27,Astronomer
S28,S28,Astronomer
S29,S29,Astronomer
S30,S30,Astronomer
S31,S31,Astronomer
S32,S32,Astronomer
S33,S33,Astronomer
S34,S34,Astronomer
S35,S35,Astronomer
S36,S36,Astronomer
S37,S37,Astronomer
S38,S38,Astronomer
S39,S39,Astronomer
S40,S40,Astronomer
S41,S41,Astronomer
S42,S42,Astronomer
S43,S43,Astronomer
S44,S44,Astronomer
S45,S45,Astronomer
S46,S46,Astronomer
S47,S47,Astronomer
S48,S48,Astronomer
S49,S49,Astronomer
S50,S50,Astronomer
S51,S51,Geologist
S52,S52,Geologist
S53,S53,Geologist
S54,S54,Geologist
S55,S55,Geologist
S56,S56,Geologist
S57,S57,Geologist
S58,S58,Geologist
S59,S59,Geologist
S60,S60,Geologist
S61,S61,Geologist
S62,S62,Geologist
S63,S63,Geologist
S64,S64,Geologist
S65,S65,Geologist
S66,S66,Geologist
S67,S67,Geologist
S68,S68,Geologist
S69,S69,Geologist
S70,S70,Geologist
S71,S71,Geologist
S72,S72,Geologist
S73,S73,Geologist
S74,S74,Geologist
S75,S75,Geologist
S76,S76,Geologist
S77,S77,Geologist
S78,S78,Geologist
S79,S79,Geologist
S80,S80,Geologist
S81,S81,Geologist
S82,S82,Geologist
S83,S83,Geologist
S84,S84,Geologist
S85,S85,Geologist
S86,S86,Geologist
S87,S87,Geologist
S88,S88,Geologist
S89,S89,Geologist
S90,S90,Geologist
S91,S91,Geologist
S92,S92,Geologist
S93,S93,Geologist
S94,S94,Geologist
S95,S95,Geologist
S96,S96,Geologist
S97,S97,Geologist
S98,S98,Geologist
S99,S99,Geologist
S100,S100,Geologist
S101,S101,Marine Biologist
S102,S102,Marine Biologist
S103,S103,Marine Biologist
S104,S104,Marine Biologist
S105,S105,Marine Biologist
S106,S106,Marine Biologist
S107,S107,Marine Biologist
S108,S108,Marine Biologist
S109,S109,Marine Biologist
S110,S110,Marine Biologist
S111,S111,Marine Biologist
S112,S112,Marine Biologist
S113,S113,Marine Biologist
S114,S114,Marine Biologist
S115,S115,Marine Biologist
S116,S116,Marine Biologist
S117,S117,Marine Biologist
S118,S118,Marine Biologist
S119,S119,Marine Biologist
S120,S120,Marine Biologist
S121,S121,Marine Biologist
S122,S122,Marine Biologist
S123,S123,Marine Biologist
S124,S124,Marine Biologist
S125,S125,Marine Biologist
S126,S126,Marine Biologist
S127,S127,Marine Biologist
S128,S128,Marine Biologist
S129,S129,Marine Biologist
S130,S130,Marine Biologist
S131,S131,Marine Biologist
S132,S132,Marine Biologist
S133,S133,Marine Biologist
S134,S134,Marine Biologist
S135,S135,Marine Biologist
S136,S136,Marine Biologist
S137,S137,Marine Biologist
S138,S138,Marine Biologist
S139,S139,Marine Biologist
S140,S140,Marine Biologist
S141,S141,Marine Biologist
S142,S142,Marine Biologist
S143,S143,Marine Biologist
